"PersonID","PostID","Timestamp","PostContent"
"@1","p3533","45600","Just landed in Georgia Join me live in Macon at 7:15pmEDT. Will be on @RSBN, @realAmericasVoice, @NewsMax, and Donald J. Trump @Rumble, among others. Will see you soonTOGETHER, we are going to MAKE AMERICA GREAT AGAIN https://rumble.com/v5lpl4t-live-president-trump-in-macon-ga.html"
"@1","p3532","45600","KAMALA BROKE IT, BUT I WILL FIX IT With your VOTE, inflation will END. The border will be SAFE  SECURE. We will have PEACE across the globe. WITH YOUR VOTE, AMERICA WILL ENTER A NEW GOLDEN AGE Vote TRUMP to MAKE AMERICA GREAT AGAIN https://swampthevoteusa.com/"
"@1","p3531","45600","MINNESOTA In-person early voting ends tomorrowWe need all of you to SwampTheVote https://vote.donaldjtrump.com/mn-top-level/"
"@1","p3530","45600","CALIFORNIA Early Voting ends tomorrow Lets make this election TooBigToRig https://vote.donaldjtrump.com/ca/"
"@1","p3529","45600","MONTANA You have until tomorrow to vote in-person and request your absentee ballot. Lets SwampTheVote vote.donaldjtrump.com/mt"
"@1","p3528","45600","NEBRASKA In-person Early Voting ends tomorrow Get out and voteTogether, well make this election TooBigToRig https://vote.donaldjtrump.com/ne-top-level/"
"@1","p3527","45600","Join me LIVE in Kinston, North Carolina at 3:30pmEDT. Will be on @NewsMax, @realAmericasVoice, @RSBN, and Donald J. Trump @Rumble, among others. See you soonMAGA2024 https://rumble.com/v5lny2z-live-president-trump-in-kinston-nc.html"
"@1","p3526","45600","Heading to Kinston, North Carolina. Big Crowd. Polls are looking GREAT. MAGA"
"@1","p3525","45600","I LOVE TRUTH SOCIAL"
"@1","p3524","45600","I havent seen the Drudge Report for years, but everyone tells me it is doing really badly. Is it remaining open, or will they close it up"
"@1","p3523","45600","THANK YOU, PENNSYLVANIA Everything we have been fighting so hard to achieve for the past 9 years all comes down to the next two days. Its NOW or NEVER. This moment will not come again. For the sake of your family, your Country, and your freedom, you have to GET OUT AND VOTE https://swampthevoteusa.com/"
"@1","p3522","45599","Join me LIVE in Lititz, Pennsylvania at 10:30amEDT. Will be on @RSBN, @OAN, @realAmericasVoice, @NewsMax, and Donald J. Trump @Rumble. See you soonMAGA2024 https://rumble.com/v5lj1uk-live-president-trump-in-lititz-pa.html"
"@1","p3521","45599","https://www.rsbnetwork.com/news/final-trump-rallies-before-election-announced/"
"@1","p3520","45599","FoxNews keeps putting on Democrat ads, as part of their news program. Their soundbites are almost all of Harris and her Democrat friends, all of whom are on the shows. FOX NEWS IS NOT OUR FRIEND. Its crazy"
"@1","p3519","45599","No President has done more for FARMERS, and the Great State of Iowa, than Donald J. Trump. In fact, its not even close All polls, except for one heavily skewed toward the Democrats by a Trump hater who called it totally wrong the last time, have me up, BY A LOT. I LOVE THE FARMERS, AND THEY LOVE ME. THE JUST OUT EMERSON POLL HAS ME UP 10 POINTS IN IOWA. THANK YOU"
"@1","p3518","45599","https://www.breitbart.com/clips/2024/11/01/pelosi-i-dont-know-why-anybody-would-vote-for-unpatriotic-trump/"
"@1","p3517","45599","As we rescue our economy, I will also restore our borders. Over the past 4 years, Kamala has orchestrated the most egregious betrayal that any leader in American history has ever inflicted on our people. She has violated her oath, eradicated our sovereign border, and unleashed an army of gangs and criminal migrants from prisons and jails, insane asylums and mental institutions around the world, from Venezuela to the Congostealing countless American lives."
"@1","p3516","45599","If Kamala wins, you are 3 days away from the start of a 1929-style economic depression. If I win, you are 3 days away from the best jobs, the biggest paychecks, and the brightest economic future the world has ever seen.Kamalas inflation nightmare has cost the typical American family 30,000 dollars in higher pricesand now, she wants to impose the largest tax hike in American history, and raise your taxes by 3,000 dollars a year. I will massively cut taxes for workers and small businessesand we will have NO TAX ON TIPS, NO TAX ON OVERTIME, and NO TAX ON SOCIAL SECURITY benefits"
