"content","created_at","date","likeCount","media","outlinks","quoteCount","quotedTweet","replyCount","retweetCount","retweetedTweet","url","id","conversationId"
"@flyerbriere hopefully. Im working on it now.","Sat Jun 08 19:27:46 0000 2013","2013-06-08 19:27:4600:00","0","","","0","","1","0","","https://twitter.com/Trevornoah/status/343449292465393665","343449292465393665","343448894262370304"
"Lmao RT @loyisogola: Voetsek RT @Trevornoah Facebook chicken RT @loyisogola: Twitter beef","Sat Jun 08 19:23:02 0000 2013","2013-06-08 19:23:0200:00","18","","","1","","13","107","","https://twitter.com/Trevornoah/status/343448098435104768","343448098435104768","343448098435104768"
"@Ltdo88 between who","Sat Jun 08 19:21:50 0000 2013","2013-06-08 19:21:5000:00","0","","","0","","1","0","","https://twitter.com/Trevornoah/status/343447795430203392","343447795430203392","343445848346202114"
"@masogatumi thank you. You just made me smile.","Sat Jun 08 19:19:52 0000 2013","2013-06-08 19:19:5200:00","0","","","0","","1","0","","https://twitter.com/Trevornoah/status/343447302947610625","343447302947610625","343444722376925184"
"@TaraTatum yup you caught me out. I apologise for leading you on. I will turn in all my comedy awards promptly.","Sat Jun 08 19:18:50 0000 2013","2013-06-08 19:18:5000:00","0","","","0","","1","2","","https://twitter.com/Trevornoah/status/343447040535191554","343447040535191554","343445848346202114"
"Ill join you. RT @lyssamint: Really wanna see @Trevornoah tonight but no one wants to go with me :","Sat Jun 08 19:16:28 0000 2013","2013-06-08 19:16:2800:00","3","","","0","","4","10","","https://twitter.com/Trevornoah/status/343446447049551873","343446447049551873","343446447049551873"
"I wont. My mom told me to stay away from the pole. RT @LaktinhoFalse9: @Trevornoah When will you be coming to Antarctica","Sat Jun 08 19:15:40 0000 2013","2013-06-08 19:15:4000:00","18","","","0","","26","86","","https://twitter.com/Trevornoah/status/343446246280794113","343446246280794113","343446246280794113"
"Facebook chicken RT @loyisogola: Twitter beef","Sat Jun 08 19:14:05 0000 2013","2013-06-08 19:14:0500:00","8","","","0","","9","69","","https://twitter.com/Trevornoah/status/343445848346202114","343445848346202114","343445848346202114"
"Ill be performing in Montreal July 10 to July 27 @JustForLaughs RT @davinath: @Trevornoah when are you coming to Canada","Sat Jun 08 19:09:37 0000 2013","2013-06-08 19:09:3700:00","2","","","0","","18","9","","https://twitter.com/Trevornoah/status/343444722376925184","343444722376925184","343444722376925184"
"@papaaction @MissMercia lol your honesty is refreshing. Thank you for the luck brother. We all need it. #GoodConvo","Sat Jun 08 19:08:03 0000 2013","2013-06-08 19:08:0300:00","0","","","0","","1","0","","https://twitter.com/Trevornoah/status/343444330452766720","343444330452766720","343322493295136771"
"@papaaction thats what I said in my show.","Sat Jun 08 19:06:03 0000 2013","2013-06-08 19:06:0300:00","0","","","0","","0","0","","https://twitter.com/Trevornoah/status/343443824107999232","343443824107999232","343322493295136771"
"@JerryElago @MissMercia I agree with you Jerry. But one day I hope we can change the has to had.","Sat Jun 08 19:05:33 0000 2013","2013-06-08 19:05:3300:00","0","","","0","","0","0","","https://twitter.com/Trevornoah/status/343443698077556736","343443698077556736","343322493295136771"
"@papaaction @MissMercia so as a black person who has also been called that word, I dont get to speak for we","Sat Jun 08 19:03:45 0000 2013","2013-06-08 19:03:4500:00","0","","","0","","1","0","","https://twitter.com/Trevornoah/status/343443247139528704","343443247139528704","343322493295136771"
"@papaaction @MissMercia once again I say, you cant speak for South Africa just as much as I cant. We all deal with things independently","Sat Jun 08 18:59:56 0000 2013","2013-06-08 18:59:5600:00","0","","","0","","1","0","","https://twitter.com/Trevornoah/status/343442285985411073","343442285985411073","343322493295136771"
"@MissMercia if you say we dont use American standards in Africa, then where did affirmative action come from","Sat Jun 08 18:53:19 0000 2013","2013-06-08 18:53:1900:00","0","","","0","","2","0","","https://twitter.com/Trevornoah/status/343440621580738560","343440621580738560","343439144149729280"
"@papaaction @MissMercia you cant speak for SA and neither can I. I am ready. And clearly people at my show are ready. So we keep moving.","Sat Jun 08 18:51:00 0000 2013","2013-06-08 18:51:0000:00","0","","","0","","3","0","","https://twitter.com/Trevornoah/status/343440039583293440","343440039583293440","343322493295136771"
"@SentientSoul touche. Ha ha ha","Sat Jun 08 18:46:28 0000 2013","2013-06-08 18:46:2800:00","0","","","0","","0","0","","https://twitter.com/Trevornoah/status/343438897541427201","343438897541427201","343437273653731328"
"@papaaction that wasnt created by Germans. That was American","Sat Jun 08 18:45:47 0000 2013","2013-06-08 18:45:4700:00","0","","","0","","1","0","","https://twitter.com/Trevornoah/status/343438726011162624","343438726011162624","343322493295136771"
"@papaaction @MissMercia if you dont deal with a wound when it is still fresh then the scar it leaves behind will be bigger.","Sat Jun 08 18:44:32 0000 2013","2013-06-08 18:44:3200:00","3","","","0","","1","3","","https://twitter.com/Trevornoah/status/343438411442573312","343438411442573312","343322493295136771"
