UserId,PostId,TimeStamp,content
U807,P114,44782.01,While cleaning a bookcase I found this book from 2008. Its the German translation of a Russian book and it says that the dependency on Gazprom was dangerous. I think I have to read it again. Its has become truth now. #UkraineRussiaWar #Gazprom https://t.co/5NgKx7mpBp
U59,P115,44782.01,"#StandWithUkraine 
 
https://t.co/3JHsLngAJX Is Now Playing - 
Megadeth - Sweating Bullets - Video:  https://t.co/wz7JiVFV5w"
U81,P116,44782.01,Set Of Twelve Sterling Silv... https://t.co/2zafyT2VQh via @topbananamall fab @topbananaantiques #dogsoftwitter #antiquejewllery #gardensoftwitter  #StandWithUkraine #antiquesilver #stopclimatechange #antiquesaregreen #antiquepictures
U807,P117,44782.01,"G i deg selv, Putin
Norwegian

#StandWithUkraine #UkraineUnderAttack #StopPutin #UkraineRussiaWar"
U62,P118,44782.01,Moment #Ukrainian Marines Ambush And Take Out Group Of #Russian Soldiers @Zenger News  https://t.co/SIxTUIKnV1
U807,P119,44782.01," #Lenovo 

#NoWar #StopPutinNOW #StandWithUkraine"
U48,P120,44782.01,"#Ucrania #Rusia Desde el inicio de la operacin rusa en Ucrania, han sido numerosos los casos de torturas y abusos de soldados rusos por parte de los militantes de los batallones neonazis ucranianos. Este soldado cuenta cmo fue torturado y muestra las secuelas que le dejaron https://t.co/iRa5bjcqMP"
U13,P122,44782.01,retrospective 013 March 13 russian servicemen delivered humanitarian cargo to residents of Borodyansky district of Kiev region #ukraine #russia #china #estonia #lithuania #latvia #poland #sweden #finland #europe #germany #russiaukrainewar #us https://t.co/rhFA1dGdaU
U84,P123,44782.01,"#Azerbaijan: #Armenia: #Russia: Violence in Nagorno-Karabakh amp What is to be done Brenda Shaffer, FDD https://t.co/d2gh8AGc4w via @Audioboom #Azerbaijan"
U85,P124,44782.01,Chip industry under threat with neon production set to fall off a cliff following Russias invasion of #Ukraine. CNBC #Technology #SupplyChain #War  https://t.co/eLVwnaHpwN https://t.co/VCgcYvOwoY
U807,P125,44782.01,"
Thai

#IStandWithUkraine #UkraineRussiaWar #RussiaWarCrimes #StopPutin"
U84,P126,44782.01,"#OuterSpaceTreaty: #Russia: #Iran. Surrogate spying in Low Earth Orbit. Henry Sokolski, Nonproliferation Policy Education Center https://t.co/CnITCRfPNj via @Audioboom #OuterSpaceTreaty"
U87,P128,44782.01,"China is just the Kanye of Taiwan. Move on my dude

#China #KanyeWest #Obsessed"
U88,P129,44782.01,DOJ and FBI are the Gestapo of the #Biden Dictatorship. He is afraid to have to run against President Trump when he is really going to have to campaign and not set in his basement. #BidenIsADisgrace #BidenDestroysAmerica #BidenBananaRepublic
U90,P131,44782.01,"Washington has not changed its assessment on #Chinas timeline for potentially taking #Taiwan militarily, a senior Pentagon official said on Monday, sticking by previous statements that Beijing would not try to take it in the next two years.https://t.co/1wekppWUXY"
U807,P132,44782.01,"
Chinese Traditional

#PutinsWar #UkraineRussiaWar #Ukraine #RussianWarCrimes"
U91,P133,44782.01,"@AmbVasyl @NZParliament @AmbVasyl, thanks for visiting Keep up your excellent work in promoting Ukraines  interests Ukrainians are defending their lives and country, but are also fighting for universal values. Ukraine   part of our European familyampcandidate for Membership. #StandWithUkraine"
U92,P134,44782.01,".
#PaulManafort admits sharing info with the #Russians during 2016 Trump campaign 

https://t.co/HLZ5qFhAku"
U10,P135,44782.01,"Guess whose home was NOT raided by the #FBI today

#Biden #Trump #DarkBrandon #HillaryClinton #MAGA https://t.co/VG0Ki5vy7M"
U81,P139,44782.01,Reconstituted Stone Lions H... https://t.co/aXu90qokWC via @topbananamall fab @topbananaantiques #dogsoftwitter #antiquejewllery #gardensoftwitter  #StandWithUkraine #antiquesilver #stopclimatechange #antiquesaregreen #antiquepictures
U96,P140,44782.01,"#Nigeria is #Africas biggest importer from #China while #SouthAfrica is the biggest exporter. Other major exporters include #Angola and the #DRC. Report by @tofeayeni.

https://t.co/c6Z1BxoB8Z"
