PersonID,PostID,Timestamp,PostContent
D80,PP81,0,Good job @NYCMayor   Where are the rest of the Democrat leaders standing up against antisemitism? That means you @GavinNewsom @MayorOfLA @KayeSteinsapir
D81,PP82,0,@RubinReport RFK jr is a wolf in sheep’s clothing.  He’s a liberal democrat.  Don’t get it confused!!
D82,PP83,0,@ForgiatoBlow47 Such a 🤡🤡
D83,PP84,0,"@LizCrokin Only waited well over 2 years to locate the twin boys and a tiny bit of backbone. Well done. Trying to pretend to be a real Republican right before the election? Or consistently voting Republican, instead of Democrat?"
D84,PP85,0,"@ChuckCjmmn Totally sick, dude trying to hide the fact that he is a Democrat with a Trump hat. Too bad we know the truth when it turns out that he is a sexual deviant."
D85,PP86,0,@LS_Democrat VBM
D86,PP87,0,@SUBRATA30016572 https://t.co/sb4sypp57F
D87,PP88,0,"@RealMattCouch Nothing happens by chance in the democrat socialist party. The Hunter guilty verdict was baked into the cake from the beginning, in order to give them the appearance of a fair system."
D88,PP89,0,@mike79421052 @kelly_turnbull1 @B50499Brit @NukenDuke88 @AesPolitics1 You sure have alot of images for the democrat mega-donor and pedọ island owner  @fbi https://t.co/AtQZSUlxBn
D89,PP90,0,@davenewworld_2 I follow a lot of reports/personalties that tweet about politics and pro democrat stuff... I have followed them for years and always felt I could support them in their views and thought they were all about goodness in the world... This whole episode has been a eye opener.
D90,PP91,0,"@MajoripMalinky @2runtherace @GenFlynn 1  You know, whether you are Democrat, Republican, Independent, Libertarian, Green, Constitution Party or whatever party.... It's all the same in the end. Before the election they promise you everything and after the election they just forgot what they promised."
D91,PP92,0,The right is promoting interstate trafficking of underage girls for sex.  Just see Epstein's island.
D92,PP93,0,@JoeBiden The working man is financially better off when literally any republican is in office vs literally any democrat. That is something that just cannot be argued.
D93,PP94,0,"@RedWave_Press @bennyjohnson Democrat weren’t always crazy like now, Logan can always change his party, it’s alright."
D94,PP95,0,@CTOTHELOS77 if I can just get my head up my ass I vote democrat!
D95,PP96,0,"@kristiecsu @glennbeck Stop lying. You're a democrat, you're never 100% honest."
D96,PP97,0,"@HeidiL_RN @gillren96 @Volandchain1 @Gpasareus Republican voters are an extremely diverse base of voters, far more diverse than Democrat voters. Notice they are 99% all in agreement.  We’ll argue among ourselves, disagree and criticize each other.   I guarantee we’re more concerned with the VP pick than Democrats ... lol"
D97,PP98,0,@RepRaskin Democrat Harry Reed lowered the threshold for judicial nominations. This is what gave Trump the ability to seat 3 SCOTUS Justices. You want to get mad? Look in the fucking mirror!
D98,PP99,0,@ninaturner The inflation rate is over 4% and the unemployment rate is rising. Just remember to vote Democrat if ya like how that's going.
D99,PP100,0,@AntivaxBarbie And this is why I'm not a democrat...
D100,PP101,0,@ksorbs It baffles me that anyone could be a Democrat at this point.
D101,PP102,0,"@USMiniTru other Democrat cities have just stopped reporting violent crime to the FBI.  When you don’t arrest criminals or report them, it never happened, right?"
D102,PP103,0,@kangaroos991 No... politicians of any party don't like him because he is a business man...people wanted change...and politicians have not given him a chance...much less than any democrat politician or civilian...bunch of crap
D103,PP104,0,@RepWeinstein I’ll bet you’re a democrat who kills babies so you are the embarrassment.
D104,PP105,0,"@C_N_F__on__X This crime spree costs Americans. As we see our 401k accounts dwindling, members of congress are getting rich.  Democrat and Republican members share the blame.  ALL AMERICANS should be incensed.  #Trump2024"
D105,PP106,0,@ShevrinJones @GovRonDeSantis “Climate change” is a Democrat hoax 🤡
D106,PP107,0,@Sassafrass_84 It's all theater 🎥.  Wake up Sass !!!  Trump - Biden  Republicans -Democrat  Black - White  Mask - No Mask Vax - No Vax Pro Choice - Pro Life Until people realize that division is a psychological weapon they will continue to think with emotion rather than with logic.  Are you
D107,PP108,0,"@bizerbizerrides @nklslick @TheCentryst @yappydagger @iche_me @62WalterP @RuadhMairi @BonnieTowner @SmackeyCracks @Jamesrus42 @FinderGrail3 @ColbertBigb @Martha125489081 @WhyRWeHere99 @Michael60691908 Those look amazing, Bizer~! I want!"
D108,PP109,0,@AesPolitics1 agreed
D82,PP110,0,@MayoIsSpicyy https://t.co/EnppfDQ5pt
D109,PP111,0,@JoeBiden You can not be a Democrat and Pro-America.
D110,PP112,0,@Resisting313392 100%
D111,PP113,0,democrat covid normalization has caused significantly more death and disability than republican covid denial
D112,PP114,0,"Nice job Marc Cuban, I want to stay a Democrat but it’s really hard to do with the current regime."
D113,PP115,0,"@jsolomonReports Yea, but no one actually believes the Democrats will leave the White House this time They will burn America to the ground to keep power and Biden has warned, F-16’s are at his control against Americans resistance to his authority"
D114,PP116,0,@DonaldJTrumpJr No wonder Democrat media is upset
D115,PP117,0,@JoeBiden You can’t be a radical socialist democrat and be pro America
D116,PP118,0,@nbcsandiego Total democrat propaganda.   Completely one sided piece with absolute disregard for Californians right to bear arms and the state’s mission to deprive us of our god given rights.   Shame on you @nbcsandiego
D117,PP119,0,"@RepJasonCrow If you were an Army Ranger, HOW could you possibly be a Democrat?!?! SMH"
D108,PP120,0,@nativeslover1 yes
D118,PP121,0,@photoframd @BoLoudon Funny she doesnt sound like she was underpaid or sexually harrased does she?  Maybe a democrat operative will come along and pay her enough to make her change her story.
